ID,SMILES,standard_value,pIC50
CHEMBL4641843,NC(=O)[C@H]1CCCC[C@H]1C(=O)N1CCc2c(O)cccc2[C@H]1CN1C(=O)c2ccccc2C1=O,5539.0,5.256568634853316
CHEMBL4645109,NC(=O)[C@H]1CC[C@H]1C(=O)N1CCc2c(O)cccc2[C@H]1CN1C(=O)c2ccccc2C1=O,1558.0,5.807432546663454
CHEMBL4638389,O=C(O)[C@H]1CC[C@H]1C(=O)N1CCc2c(O)cccc2[C@H]1CN1C(=O)c2ccccc2C1=O,862.0,6.064492734175287
CHEMBL4647979,CC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](Cc1cccc(C(N)=O)c1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(N)=O)[C@@H](C)O,5900.0,5.229147988357855
CHEMBL4633579,CC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(N)=O)[C@@H](C)O,29000.0,4.537602002101044
CHEMBL4642135,CC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](CC1CCC1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(N)=O)[C@@H](C)O,2700.0,5.568636235841012
CHEMBL4639381,O=C(O)[C@H]1CCCC[C@H]1C(=O)N1CCc2c(O)cccc2[C@H]1CN1C(=O)c2ccccc2C1=O,98.0,7.008773924307505
CHEMBL4639835,CC(C)(O)C#Cc1cccc2c1CCN(C(=O)[C@@H]1CCCC[C@@H]1C(=O)O)[C@@H]2CN1C(=O)c2ccccc2C1=O,4682.0,5.329568590639394
CHEMBL4634711,O=C(O)[C@H]1CCCC[C@H]1C(=O)N1CCc2c(C#CCO)cccc2[C@H]1CN1C(=O)c2ccccc2C1=O,254.0,6.5951662833800615
CHEMBL4635272,COCCOc1cccc2c1CCN(C(=O)[C@@H]1CCCC[C@@H]1C(=O)O)[C@@H]2CN1C(=O)c2ccccc2C1=O,5456.0,5.263125638351577
CHEMBL4645065,O=C(O)[C@H]1CCCC[C@H]1C(=O)N1CCc2c(OCCCO)cccc2[C@H]1CN1C(=O)c2ccccc2C1=O,1275.0,5.894489815230026
CHEMBL4636738,O=C(O)[C@H]1CCCC[C@H]1C(=O)N1CCc2c(OCCO)cccc2[C@H]1CN1C(=O)c2ccccc2C1=O,183.0,6.73754891026957
CHEMBL4642536,O=C(O)[C@H]1CCCC[C@H]1C(=O)N1CCc2cc(OCCO)ccc2[C@H]1CN1C(=O)c2ccccc2C1=O,1976.0,5.70421305974839
CHEMBL3948237,CCOc1ccc(S(=O)(=O)Nc2cc(CC(C)=O)c(NS(=O)(=O)c3ccc(OCC)cc3)c3ccccc23)cc1,1500.0,5.823908740944319
CHEMBL4166048,COc1ccc(S(=O)(=O)N(CC(=O)O)Cc2ccccc2CN(CC(=O)O)S(=O)(=O)c2ccc(OC)cc2)cc1,2300.0,5.638272163982407
CHEMBL4640621,COc1ccc(S(=O)(=O)N(Cc2ccccc2CN([C@@H](C)C(=O)O)S(=O)(=O)c2ccc(OC)cc2)[C@@H](C)C(=O)O)cc1,150.0,6.823908740944319
CHEMBL4646358,COc1ccc(S(=O)(=O)N(Cc2ccccc2CN([C@H](C)C(=O)O)S(=O)(=O)c2ccc(OC)cc2)[C@H](C)C(=O)O)cc1,620.0,6.207608310501746
CHEMBL4645697,COc1ccc(S(=O)(=O)N(Cc2ccccc2CN(C(Cc2nnn[nH]2)C(=O)O)S(=O)(=O)c2ccc(OC)cc2)C(Cc2nnn[nH]2)C(=O)O)cc1,1170.0,5.931814138253838
CHEMBL4634585,O=C(O)CN(Cc1ccccc1CN(CC(=O)O)S(=O)(=O)c1c(F)cccc1F)S(=O)(=O)c1c(F)cccc1F,1780.0,5.7495799976911055
CHEMBL4635873,O=C(O)CN(Cc1ccccc1CN(CC(=O)O)S(=O)(=O)c1ccc(OCc2ccccc2)cc1)S(=O)(=O)c1ccc(OCc2ccccc2)cc1,570.0,6.2441251443275085
CHEMBL4637517,O=C(O)CN(Cc1ccccc1CN(CC(=O)O)S(=O)(=O)c1ccc2oc3ccccc3c2c1)S(=O)(=O)c1ccc2oc3ccccc3c2c1,420.0,6.376750709602099
CHEMBL4780553,COc1cccc(Nc2ccc(C)c(N(CC(=O)O)S(=O)(=O)c3c(C)cc(C)cc3C)c2)c1,102000.0,3.991399828238082
CHEMBL4751309,COc1cccc(Nc2cc(C)cc(N(CC(=O)O)S(=O)(=O)c3c(C)cc(C)cc3C)c2)c1,93300.0,4.0301183562535
CHEMBL4798370,COc1cccc(Nc2cc(N(CC(=O)O)S(=O)(=O)c3c(C)cc(C)cc3C)ccc2C)c1,95600.0,4.0195421077238995
CHEMBL4787914,COc1cccc(Nc2cccc(N(CC(=O)O)S(=O)(=O)c3c(C)cc(C)cc3C)c2C)c1,30100.0,4.521433504406157
CHEMBL4763599,COc1cccc(Nc2cccc(N(CC(=O)O)S(=O)(=O)c3c(C)cc(C)cc3C)c2)c1,101000.0,3.995678626217358
CHEMBL4752550,COc1cccc(Nc2cccc(N(CC(=O)O)S(=O)(=O)c3c(C)cc(C)cc3C)c2F)c1,80100.0,4.096367483915762
CHEMBL4792278,COc1cccc(Nc2cccc(N(CC(=O)O)S(=O)(=O)c3c(C)cc(C)cc3C)c2OC)c1,55300.0,4.257274868695302
CHEMBL4759783,COc1cccc(CN2CCc3c2cccc3N(CC(=O)O)S(=O)(=O)c2c(C)cc(C)cc2C)c1,16400.0,4.785156151952302
CHEMBL4744410,COc1ccc(CN2CCc3c2cccc3N(CC(=O)O)S(=O)(=O)c2c(C)cc(C)cc2C)cc1,98000.0,4.008773924307505
CHEMBL4747781,Cc1cc(C)c(S(=O)(=O)N(CC(=O)O)c2cccc3c2CCN3Cc2ccccc2)c(C)c1,42000.0,4.376750709602099
CHEMBL4785655,Cc1cc(C)c(S(=O)(=O)N(CC(=O)O)c2cccc3c2CCN3Cc2cccc(C#N)c2)c(C)c1,24800.0,4.605548319173784
CHEMBL4753443,Cc1cc(C)c(S(=O)(=O)N(CC(=O)O)c2cccc3c2CCN3Cc2cccc([N+](=O)[O-])c2)c(C)c1,27200.0,4.565431095965801
